Total Points,Politics,English 1,Math 1,Professional Courses,,,,
415,71,84,131,129,,,,
407,78,86,122,121,,,,
403,69,78,134,122,,,,
402,69,67,145,121,,,,
400,63,70,136,131,,,,
398,73,79,116,130,,,,
397,66,80,138,113,,,,
392,72,78,117,125,,,,
387,69,71,121,126,,,,
384,65,74,124,121,,,,
379,76,76,114,113,,,,
376,74,57,135,110,,,,
376,63,77,120,116,,,,
374,63,64,148,99,,,,
374,60,86,121,107,,,,
372,66,78,118,110,,,,
371,66,67,117,121,,,,
370,63,78,120,109,,,,
370,63,64,128,115,,,,
369,64,77,106,122,,,,
369,65,71,120,113,,,,
368,68,68,114,118,,,,
368,74,73,112,109,,,,
367,72,64,99,132,,,,
367,71,65,119,112,,,,
367,81,71,106,109,,,,
367,69,74,120,104,,,,
366,66,65,116,119,,,,
365,60,52,129,124,,,,
364,60,71,114,119,,,,
362,66,54,116,126,,,,
362,60,75,124,103,,,,
361,64,84,108,105,,,,
360,73,71,112,104,,,,
360,62,78,110,110,,,,
357,70,60,118,109,,,,
357,71,68,113,105,,,,
357,69,67,114,107,,,,
356,66,67,101,122,,,,
356,68,68,113,107,,,,
355,61,83,111,100,,,,
355,67,63,131,94,,,,
355,68,64,122,101,,,,
354,68,72,100,114,,,,
351,74,68,102,107,,,,
351,64,59,130,98,,,,
351,65,66,95,125,,,,
351,64,57,129,101,,,,
351,62,82,98,109,,,,
349,73,69,109,98,,,,
349,72,57,104,116,,,,
349,64,75,107,103,,,,
349,69,63,109,108,,,,
347,62,62,105,118,,,,
347,57,65,121,104,,,,
347,67,55,111,114,,,,
347,66,57,121,103,,,,
347,66,65,105,111,,,,
347,67,62,111,107,,,,
347,61,63,111,112,,,,
346,70,70,96,110,,,,
345,68,65,104,108,,,,
345,68,74,97,106,,,,
345,64,64,116,101,,,,
345,74,41,112,118,,,,
344,67,65,112,100,,,,
344,73,73,103,95,,,,
344,67,76,104,97,,,,
344,67,62,102,113,,,,
343,68,63,103,109,,,,
343,61,68,103,111,,,,
341,63,65,98,115,,,,
341,63,61,122,95,,,,
341,64,70,105,102,,,,
340,71,62,86,121,,,,
340,64,63,109,104,,,,
339,67,56,109,107,,,,
338,72,47,103,116,,,,
337,67,74,97,99,,,,
337,69,60,110,98,,,,
337,67,79,106,85,,,,
336,71,63,104,98,,,,
336,67,54,117,98,,,,
336,59,62,128,87,,,,
335,64,65,102,104,,,,
335,70,80,88,97,,,,
335,66,61,93,115,,,,
335,64,64,114,93,,,,
334,64,59,112,99,,,,
333,63,77,97,96,,,,
333,72,81,96,84,,,,
332,65,66,95,106,,,,
332,74,75,79,104,,,,
331,63,56,106,106,,,,
331,62,82,95,92,,,,
331,65,79,88,99,,,,
331,69,63,104,95,,,,
330,65,56,106,103,,,,
330,69,71,103,87,,,,
